feature,mean_abs_shap
customer_id,0.09041111967180351
product_id,0.07710238746692391
week,0.022806772871142238
num_deliver_per_week,0.012409751865038697
package_LATA,0.007403591661249333
customer_type_MAYORISTA,0.006694905308156438
brand_Brand 34,0.006208890969731615
segment_MEDIUM,0.005975049537255125
brand_Brand 3,0.005699391296669773
size,0.0052111833317043145
customer_type_RESTAURANT,0.0033076049980418176
brand_Brand 44,0.003275756454140898
segment_PREMIUM,0.0030604408763866787
customer_type_MINIMARKET,0.0027359146410037343
brand_Brand 31,0.0025540891277190734
brand_Brand 35,0.0021471491722970656
customer_type_CANAL FRIO,0.001582378464358991
brand_Brand 24,0.0014869781743765652
segment_LOW,0.0014559160041695174
year,0.000702877825297646
brand_Brand 10,0.00034839332957626863
brand_Brand 26,0.00013607061146541301
brand_Brand 54,9.544071018836497e-05
customer_type_SUPERMERCADO,8.961920387847187e-05
brand_Brand 16,0.0
brand_Brand 15,0.0
brand_Brand 14,0.0
brand_Brand 52,0.0
brand_Brand 33,0.0
brand_Brand 55,0.0
brand_Brand 7,0.0
sub_category_GASEOSAS,0.0
brand_Brand 2,0.0
brand_Brand 21,0.0
customer_type_TIENDA DE CONVENIENCIA,0.0
package_KEG,0.0
brand_Brand 22,0.0
brand_Brand 28,0.0
